,0,1,2,3,4,5,6,7,8,9
59,you,re,not,a,doctor,.,</EOS>,</PAD>,</PAD>,</PAD>
60,they,re,early,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
61,he,is,very,brave,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
62,i,m,pretty,happy,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>
63,she,is,japanese,.,</EOS>,</PAD>,</PAD>,</PAD>,</PAD>,</PAD>
64,i,m,the,boss,around,here,.,</EOS>,</EOS>,</EOS>
65,she,shook,hands,with,him,.,</EOS>,</PAD>,</EOS>,</EOS>
66,she,is,not,here,yet,.,</EOS>,</PAD>,</EOS>,</EOS>
67,he,is,my,friend,.,</EOS>,</PAD>,</PAD>,</EOS>,</EOS>
68,i,m,going,to,prison,.,</EOS>,</PAD>,</EOS>,</EOS>
69,you,re,being,silly,.,</EOS>,</PAD>,</PAD>,</EOS>,</EOS>
70,we,re,hot,.,</EOS>,</PAD>,</PAD>,</PAD>,</EOS>,</EOS>
